gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean
ENSMUSG00000037411.12,NA,16117.5326821036,3.110050464399193,0.13030433144728448,23.867590814948354,6.650655455447569e-126,1.1090633037504367e-121,UP,ENSMUSG00000037411
ENSMUSG00000020826.10,NA,24104.52636928401,3.2045975437669894,0.14349999717894188,22.331690639484226,1.8191392533121787e-110,1.5167983094116946e-106,UP,ENSMUSG00000020826
ENSMUSG00000024190.8,Dusp1,5659.963924419032,1.7617143473423968,0.08129558880113423,21.670478968445796,3.896816081810515e-104,2.1661101660090718e-100,UP,ENSMUSG00000024190
ENSMUSG00000029304.15,NA,281444.80231556983,1.3639302034913356,0.06921928472406026,19.704482774252657,1.9734841993627253e-86,8.227455627143201e-83,UP,ENSMUSG00000029304
ENSMUSG00000060477.15,NA,5224.806045199793,0.9221559956052718,0.05836757994416344,15.799113077626998,3.1552450595484447e-56,1.0523373322605973e-52,UP,ENSMUSG00000060477
ENSMUSG00000025151.17,NA,3418.0319653842644,0.7719080008005885,0.049405652139547125,15.623880413931607,5.006380365913426e-55,1.3914399830328715e-51,UP,ENSMUSG00000025151
ENSMUSG00000045502.7,Hcar2,2496.2703813365124,2.567501691723983,0.16869229670402403,15.220029259716263,2.60414558249826e-52,5.428341466717623e-49,UP,ENSMUSG00000045502
ENSMUSG00000056952.14,NA,2806.9645123368864,0.9935788605068977,0.06528087159391908,15.22006119476275,2.6028747224216623e-52,5.428341466717623e-49,UP,ENSMUSG00000056952
ENSMUSG00000030342.9,Cd9,12792.433176975326,1.1816327871706267,0.07793676696274766,15.161429364082107,6.36684886743424e-52,1.179706352370371e-48,UP,ENSMUSG00000030342
ENSMUSG00000032515.9,Csrnp1,1248.9504326732392,1.3561570597151111,0.08960316885148978,15.135146190675858,9.496943355850481e-52,1.5837102740216262e-48,UP,ENSMUSG00000032515
ENSMUSG00000025340.15,NA,1874.365578458677,0.740070448058033,0.049532650603006954,14.941062895856938,1.7811144458477542e-50,2.7001694999051954e-47,UP,ENSMUSG00000025340
ENSMUSG00000030109.16,NA,183.3977720303695,2.675503365913509,0.18116922719351178,14.767979128462754,2.356740177028492e-49,3.2750832660105946e-46,UP,ENSMUSG00000030109
ENSMUSG00000027834.16,NA,166.52356662685992,1.8054311864726855,0.12284375163354512,14.696972067887202,6.740711754848181e-49,8.646777632603713e-46,UP,ENSMUSG00000027834
