gene_id,gene_name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation,gene_id_clean,contrast
ENSMUSG00000029449.12,NA,625.5911544672983,1.29100501690487,0.06957281136898902,18.556171462697495,7.270501823590604e-77,1.236421540119818e-72,UP,ENSMUSG00000029449,Lac_8h_vs_M1_8h
ENSMUSG00000036959.16,NA,479.7932377005604,1.8348459621393964,0.11437111200744698,16.04291442073174,6.407549210194045e-58,5.448339093427997e-54,UP,ENSMUSG00000036959,Lac_8h_vs_M1_8h
ENSMUSG00000026797.17,NA,1545.8178747349612,1.2141025390663125,0.07605518027991359,15.96344305013712,2.297023726288993e-57,1.302106182975687e-53,UP,ENSMUSG00000026797,Lac_8h_vs_M1_8h
ENSMUSG00000038963.16,NA,640.58170619147,2.001014065908767,0.12683385368832195,15.776655898400788,4.504283164282156e-56,1.9149959872945592e-52,UP,ENSMUSG00000038963,Lac_8h_vs_M1_8h
ENSMUSG00000031959.16,NA,909.6351247537068,0.9144121002241636,0.05875209932367947,15.563905132758697,1.2804239842978851e-54,3.629148379494973e-51,UP,ENSMUSG00000031959,Lac_8h_vs_M1_8h
ENSMUSG00000043157.9,Arl11,2399.06143913261,-0.921197092392256,0.05915469849445208,-15.572678347412282,1.1163320121355524e-54,3.629148379494973e-51,DOWN,ENSMUSG00000043157,Lac_8h_vs_M1_8h
ENSMUSG00000015944.10,NA,1303.7484146626734,1.6998591173836677,0.11179781891985588,15.204761003452486,3.288286330763334e-52,7.988656762994466e-49,UP,ENSMUSG00000015944,Lac_8h_vs_M1_8h
ENSMUSG00000096210.3,H1f0,1549.49658888753,-1.127959329376162,0.07425904175152266,-15.18952174403777,4.149359590093117e-52,8.820501148640444e-49,DOWN,ENSMUSG00000096210,Lac_8h_vs_M1_8h
ENSMUSG00000024947.18,NA,1586.5231999146408,1.0136001610632002,0.06712751849181543,15.099622089959784,1.6286413423229604e-51,3.0774082963938075e-48,UP,ENSMUSG00000024947,Lac_8h_vs_M1_8h
ENSMUSG00000007033.5,Hspa1l,373.950243664063,1.1918466886397685,0.07939624109267253,15.01137424438805,6.185280257372172e-51,1.0518687605687111e-47,UP,ENSMUSG00000007033,Lac_8h_vs_M1_8h
ENSMUSG00000020826.10,NA,24104.52636928401,3.6820318254561775,0.14411102148190166,25.54996687688172,5.495317000909173e-144,8.982645169686137e-140,UP,ENSMUSG00000020826,Lac_16h_vs_M1_16h
ENSMUSG00000037411.12,NA,16117.5326821036,2.890413210289892,0.13003928847939533,22.227230278546752,1.873425893752011e-109,1.531150982963518e-105,UP,ENSMUSG00000037411,Lac_16h_vs_M1_16h
ENSMUSG00000121137.2,Gm56555,1471.3861752439095,1.0651200248938364,0.06941672499796284,15.343853011289344,3.8938085045014506e-53,1.591204845364518e-49,UP,ENSMUSG00000121137,Lac_16h_vs_M1_16h
ENSMUSG00000078780.8,Gm5150,503.57550226759423,-1.2973438401445003,0.08493227168909216,-15.275039915258953,1.1215933448676615e-52,3.6667129630413595e-49,DOWN,ENSMUSG00000078780,Lac_16h_vs_M1_16h
ENSMUSG00000026833.19,NA,1597.2944027220813,1.1263113911522038,0.08077503187286149,13.943806211367376,3.4314151821841186e-44,8.012844652568801e-41,UP,ENSMUSG00000026833,Lac_16h_vs_M1_16h
ENSMUSG00000037012.19,NA,10069.134722046098,1.0463581178982733,0.07584044204594287,13.796835694396494,2.6628704399583456e-43,5.44091002644489e-40,UP,ENSMUSG00000037012,Lac_16h_vs_M1_16h
ENSMUSG00000025151.17,NA,3418.0319653842644,0.673181366367434,0.04918516355971011,13.686675364008927,1.2196325897837432e-42,2.215123812511674e-39,UP,ENSMUSG00000025151,Lac_16h_vs_M1_16h
ENSMUSG00000090877.4,Hspa1b,6383.382138810836,1.975068993434787,0.14505478030429722,13.616021404406457,3.2161756847439024e-42,5.257160774282383e-39,UP,ENSMUSG00000090877,Lac_16h_vs_M1_16h
ENSMUSG00000024190.8,Dusp1,5659.963924419032,1.7617143473423968,0.08129558880113423,21.670478968445796,3.896816081810515e-104,2.166110166009072e-100,UP,ENSMUSG00000024190,Lac_24h_vs_M1_24h
ENSMUSG00000029304.15,NA,281444.80231556983,1.3639302034913356,0.06921928472406026,19.704482774252657,1.9734841993627253e-86,8.2274556271432e-83,UP,ENSMUSG00000029304,Lac_24h_vs_M1_24h
ENSMUSG00000060477.15,NA,5224.806045199793,0.9221559956052718,0.05836757994416344,15.799113077626998,3.155245059548445e-56,1.052337332260597e-52,UP,ENSMUSG00000060477,Lac_24h_vs_M1_24h
ENSMUSG00000045502.7,Hcar2,2496.2703813365124,2.567501691723983,0.16869229670402405,15.220029259716265,2.60414558249826e-52,5.428341466717623e-49,UP,ENSMUSG00000045502,Lac_24h_vs_M1_24h
ENSMUSG00000056952.14,NA,2806.9645123368864,0.9935788605068976,0.06528087159391908,15.22006119476275,2.6028747224216623e-52,5.428341466717623e-49,UP,ENSMUSG00000056952,Lac_24h_vs_M1_24h
ENSMUSG00000030342.9,Cd9,12792.433176975326,1.1816327871706267,0.07793676696274766,15.161429364082109,6.3668488674342406e-52,1.179706352370371e-48,UP,ENSMUSG00000030342,Lac_24h_vs_M1_24h
ENSMUSG00000032515.9,Csrnp1,1248.9504326732392,1.3561570597151111,0.08960316885148978,15.135146190675858,9.49694335585048e-52,1.5837102740216262e-48,UP,ENSMUSG00000032515,Lac_24h_vs_M1_24h
